timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose,File Name
1.6463881279287954e+18,1430.0,-5192.0,6486.0,frame_12503.jpeg
1.64638812796668e+18,-858.0,-5096.0,3787.0,frame_12504.jpeg
1.6463881280224015e+18,1506.0,-2330.0,2064.0,frame_12505.jpeg
1.6463881280644657e+18,2509.0,-2288.0,360.0,frame_12506.jpeg
1.646388128122578e+18,1773.0,-2609.0,1502.0,frame_12507.jpeg
1.6463881281799337e+18,1628.0,-1764.0,2127.0,frame_12508.jpeg
1.64638812822363e+18,128.0,-11026.0,4750.0,frame_12509.jpeg
1.646388128273854e+18,-351.0,-12869.0,5977.0,frame_12510.jpeg
1.6463881283221724e+18,-1573.0,-13214.0,5379.0,frame_12511.jpeg
1.6463875082941996e+18,-7910.0,-1217.0,2398.0,frame_126.jpeg
1.6463875083453852e+18,-7960.0,-1364.0,2485.0,frame_127.jpeg
1.6463881403558295e+18,-5850.0,-1649.0,6244.0,frame_12752.jpeg
1.6463881404299126e+18,-5853.0,-1524.0,6207.0,frame_12753.jpeg
1.6463881404898156e+18,-5847.0,-1390.0,6161.0,frame_12754.jpeg
1.6463881405264492e+18,-5822.0,-1293.0,6098.0,frame_12755.jpeg
1.646388140606662e+18,-5790.0,-1225.0,6036.0,frame_12756.jpeg
1.6463881406487252e+18,-5729.0,-1140.0,5949.0,frame_12757.jpeg
1.6463881406878252e+18,-5699.0,-1167.0,5925.0,frame_12758.jpeg
1.6463881407680095e+18,-5675.0,-1192.0,5939.0,frame_12759.jpeg
1.6463881407965612e+18,-5637.0,-1166.0,5905.0,frame_12760.jpeg
1.646388140837859e+18,-5585.0,-1144.0,5911.0,frame_12761.jpeg
1.6463881409354212e+18,-5545.0,-1142.0,5929.0,frame_12762.jpeg
1.6463881409354212e+18,-5545.0,-1142.0,5929.0,frame_12763.jpeg
1.6463881409942702e+18,-5428.0,-795.0,6194.0,frame_12764.jpeg
1.6463881410379725e+18,-4988.0,-2305.0,6124.0,frame_12765.jpeg
1.646388141091847e+18,-4581.0,-2813.0,6256.0,frame_12766.jpeg
1.646388141138794e+18,-4606.0,-2757.0,6439.0,frame_12767.jpeg
1.646388141187321e+18,-4740.0,-3341.0,6126.0,frame_12768.jpeg
1.6463881412377784e+18,-4826.0,-3023.0,6314.0,frame_12769.jpeg
1.6463881412881795e+18,-4856.0,-2809.0,6503.0,frame_12770.jpeg
1.646388141335298e+18,-4868.0,-2876.0,6531.0,frame_12771.jpeg
1.646388141387512e+18,-4971.0,-2970.0,6475.0,frame_12772.jpeg
1.6463881414376484e+18,-4977.0,-2363.0,6637.0,frame_12773.jpeg
1.6463881414877125e+18,-4943.0,-2524.0,6554.0,frame_12774.jpeg
1.6463881415373417e+18,-4789.0,-2498.0,6405.0,frame_12775.jpeg
1.6463881415870423e+18,-4954.0,-2542.0,6535.0,frame_12776.jpeg
1.646388141638317e+18,-4952.0,-2703.0,6386.0,frame_12777.jpeg
1.6463881416865004e+18,-4845.0,-2819.0,6328.0,frame_12778.jpeg
1.6463881417447642e+18,-4880.0,-2751.0,6492.0,frame_12779.jpeg
