timestamp,a_left_wristPose,b_left_wristPose,c_left_wristPose, BOLT_LEFT
1.6449325052815032e+18,-6183.0,-10675.0,3356.0,1
1.6449325053381875e+18,-3570.0,-9893.0,2978.0,1
1.6449325053925197e+18,-5311.0,-6079.0,2911.0,1
1.64493250543975e+18,-5832.0,-7141.0,-648.0,1
1.6449325054877005e+18,-7004.0,-7134.0,258.0,1
1.6449325055318397e+18,-3285.0,-5844.0,-1949.0,1
1.6449325056069926e+18,-2863.0,-5823.0,-1462.0,1
1.6449325056441078e+18,-2648.0,-5917.0,-1237.0,1
1.64493250568967e+18,-2416.0,-6107.0,-1073.0,1
1.6449325057303455e+18,-1798.0,-7146.0,-603.0,1
1.6449325057982812e+18,-1002.0,-8526.0,-265.0,1
1.6449325058310252e+18,-91.0,-9250.0,-340.0,1
1.6449325058901942e+18,1448.0,-9716.0,-938.0,1
1.644932505938383e+18,-104.0,-5237.0,5201.0,1
1.6449325059855493e+18,-2898.0,-6587.0,8707.0,1
1.644932506044373e+18,-4657.0,-4414.0,8357.0,1
1.644932506085681e+18,-5113.0,-8626.0,8682.0,1
1.6449325061372383e+18,-3106.0,-2880.0,4858.0,1
1.6449325061880968e+18,-1580.0,-2595.0,4056.0,1
1.64493250624035e+18,-2792.0,-2900.0,8429.0,1
1.6449325062868557e+18,-2056.0,-1537.0,9911.0,1
1.6449325063387346e+18,-2548.0,-440.0,9128.0,1
1.6449325063852408e+18,-3795.0,-109.0,7304.0,1
1.644932506443504e+18,-4133.0,861.0,7697.0,1
1.6449325064901568e+18,-6164.0,389.0,7300.0,1
1.6449325065378504e+18,-5793.0,-884.0,6571.0,1
1.644932506589503e+18,-3978.0,-1232.0,6304.0,1
1.6449325066385969e+18,-2487.0,-2685.0,3551.0,1
1.6449325066862797e+18,-1928.0,-8091.0,6036.0,1
1.6449325067624287e+18,-737.0,-9160.0,5711.0,1
1.6449325067918566e+18,-145.0,-1582.0,6868.0,1
1.644932506838361e+18,220.0,-5141.0,5808.0,1
1.6449325068895762e+18,227.0,-3367.0,7029.0,1
1.6449325069386788e+18,620.0,-4782.0,6215.0,1
1.6449325069915748e+18,-720.0,-6792.0,7055.0,1
1.6449325070409823e+18,-458.0,-5979.0,5460.0,1
1.644932507088667e+18,-1084.0,-6590.0,4988.0,1
1.6449325071330573e+18,-1046.0,-7645.0,4786.0,1
1.6449325071330573e+18,-1046.0,-7645.0,4786.0,1
1.6449325072582075e+18,-1056.0,-7393.0,4787.0,1
1.6449325073028388e+18,-1098.0,-7039.0,4831.0,1
1.6449325073371372e+18,-1187.0,-6157.0,4982.0,1
1.644932507389117e+18,-2980.0,-12034.0,6048.0,1
1.6449325074406067e+18,-3710.0,-6677.0,2819.0,1
1.6449325074891233e+18,-4547.0,-3860.0,3833.0,1
1.6449325075391306e+18,-4239.0,-8089.0,3106.0,1
1.6449325075924534e+18,-3522.0,-8035.0,855.0,1
1.6449325076388623e+18,-2489.0,-8980.0,-466.0,1
1.6449325076912156e+18,-2433.0,-8559.0,194.0,1
1.6449325077379704e+18,-2960.0,-5677.0,1148.0,1
1.6449325077879124e+18,-3651.0,-9402.0,2150.0,1
1.6449325078392622e+18,-2443.0,-5580.0,1531.0,1
1.644932507890252e+18,-950.0,-7872.0,1903.0,1
1.6449325079409265e+18,-2009.0,-6860.0,3904.0,1
1.6449325079912443e+18,-2852.0,-6784.0,5043.0,1
1.6449325080376492e+18,-4220.0,-4259.0,8017.0,1
1.644932508088099e+18,-4286.0,-3512.0,7957.0,1
1.6449325081377193e+18,-3817.0,-2782.0,8221.0,1
1.644932508189541e+18,-4334.0,-2634.0,7340.0,1
1.6449325082383503e+18,-4443.0,-2251.0,7358.0,1
1.644932508288702e+18,-4076.0,-2619.0,6135.0,1
1.6449325083403054e+18,-4102.0,-787.0,7076.0,1
1.644932508390573e+18,-3300.0,-1060.0,8760.0,1
1.6449325084427016e+18,-3084.0,60.0,10002.0,1
1.6449325084903084e+18,-3657.0,1988.0,7072.0,1
1.6449325085457398e+18,-4863.0,756.0,5882.0,1
1.6449325085883753e+18,-4773.0,341.0,7582.0,1
1.6449325086409907e+18,-3554.0,-121.0,7803.0,1
1.6449325086926956e+18,-3196.0,817.0,6587.0,1
1.6449325087391058e+18,-2803.0,475.0,6290.0,1
1.644932508800916e+18,-2720.0,358.0,6301.0,1
1.6449325088415642e+18,-2380.0,320.0,7893.0,1
1.644932508890974e+18,-2577.0,1012.0,8316.0,1
1.6449325089422454e+18,-1535.0,-2189.0,6472.0,1
1.6449325089875607e+18,-602.0,-4865.0,6206.0,1
1.644932509043423e+18,-717.0,-6319.0,5805.0,1
1.6449325090882583e+18,-652.0,-7470.0,3777.0,1
1.644932509142561e+18,654.0,-9189.0,706.0,1
1.6449325091927022e+18,-51.0,-10169.0,3408.0,1
1.644932509240541e+18,-1321.0,-6190.0,4768.0,1
1.6449325092887245e+18,-1399.0,-8165.0,3788.0,1
1.6449325093381146e+18,-889.0,-6391.0,4306.0,1
1.6449325093928049e+18,-277.0,-9087.0,4739.0,1
1.6449325094434563e+18,-1380.0,-5037.0,5758.0,1
1.6449325094937364e+18,-1393.0,-4287.0,6147.0,1
1.6449325095451218e+18,-1522.0,-2337.0,6202.0,1
1.644932509589147e+18,-2262.0,-2360.0,6330.0,1
