timestamp,a_right_wristPose,b_right_wristPose,c_right_wristPose, BOLT_RIGHT
1.645022030482188e+18,-1202.0,7909.0,-1206.0,1
1.6450220305320387e+18,-2352.0,11970.0,-2373.0,1
1.6450220305799148e+18,-894.0,9812.0,496.0,1
1.6450220306324178e+18,127.0,7680.0,936.0,1
1.6450220306827333e+18,-1204.0,10646.0,256.0,1
1.6450220307324992e+18,-1063.0,9486.0,3094.0,1
1.6450220307811873e+18,178.0,10279.0,1804.0,1
1.6450220308310863e+18,1443.0,9503.0,432.0,1
1.6450220308777992e+18,2893.0,7709.0,258.0,1
1.6450220309324956e+18,2597.0,8478.0,-870.0,1
1.6450220309776023e+18,2275.0,7880.0,-1354.0,1
1.6450220310316055e+18,2434.0,8180.0,-2314.0,1
1.645022031081109e+18,2275.0,8512.0,-2619.0,1
1.6450220311328758e+18,2406.0,8711.0,-2702.0,1
1.6450220311822016e+18,2474.0,7211.0,-1734.0,1
1.6450220312338332e+18,2132.0,6773.0,-1818.0,1
1.6450220312831916e+18,2032.0,9112.0,-1465.0,1
1.6450220313287729e+18,2074.0,6453.0,374.0,1
1.6450220313877437e+18,1279.0,8048.0,379.0,1
1.6450220314323151e+18,1095.0,7156.0,1232.0,1
1.6450220314867807e+18,612.0,7077.0,528.0,1
1.6450220315298906e+18,-200.0,7703.0,-219.0,1
1.645022031582374e+18,-929.0,7913.0,1031.0,1
1.6450220316340613e+18,-860.0,7789.0,-8.0,1
1.6450220316861686e+18,-1089.0,8819.0,-1116.0,1
1.645022031733442e+18,-1471.0,9611.0,-1729.0,1
1.64502203178435e+18,-1676.0,8443.0,-1491.0,1
1.6450220318298557e+18,-2097.0,8970.0,-1548.0,1
1.6450220318908675e+18,-1581.0,9423.0,-1107.0,1
1.6450220319330422e+18,-680.0,9859.0,-704.0,1
1.645022031983829e+18,-271.0,9802.0,-339.0,1
1.645022032035183e+18,923.0,9466.0,-68.0,1
1.6450220320872873e+18,1450.0,8329.0,-565.0,1
1.6450220321337318e+18,1538.0,7541.0,-912.0,1
1.6450220321832924e+18,2118.0,9696.0,-4014.0,1
1.6450220322337833e+18,1602.0,7073.0,-1173.0,1
1.6450220322839572e+18,1821.0,7400.0,-2124.0,1
1.6450220323335734e+18,2117.0,7160.0,-2191.0,1
1.6450220323822743e+18,2255.0,7924.0,-2783.0,1
1.645022032432244e+18,2664.0,8815.0,-3192.0,1
1.6450220324814213e+18,3213.0,9025.0,-2280.0,1
1.6450220325340795e+18,3230.0,7329.0,-1355.0,1
1.6450220325819323e+18,1910.0,6204.0,2585.0,1
1.6450220326333187e+18,1655.0,7077.0,1713.0,1
