timestamp,a_right_backPose,b_right_backPose,c_right_backPose,File Name
1.6463912082943235e+18,2589.0,4556.0,-4620.0,frame_11976.jpeg
1.646391208339582e+18,1374.0,5575.0,-6582.0,frame_11977.jpeg
1.6463906687183242e+18,-2298.0,2449.0,-7226.0,frame_1198.jpeg
1.6463906687689065e+18,-2721.0,3528.0,-7492.0,frame_1199.jpeg
1.6463906688191933e+18,-2984.0,3644.0,-6950.0,frame_1200.jpeg
1.646390668868735e+18,-3256.0,3880.0,-6797.0,frame_1201.jpeg
1.6463906689190351e+18,-3708.0,3470.0,-6492.0,frame_1202.jpeg
1.6463906689698207e+18,-3377.0,3203.0,-7001.0,frame_1203.jpeg
1.646390669019741e+18,-3501.0,3222.0,-7086.0,frame_1204.jpeg
1.6463906690700183e+18,-4428.0,2805.0,-6770.0,frame_1205.jpeg
1.646390669118633e+18,-4582.0,3169.0,-7303.0,frame_1206.jpeg
1.6463906691645376e+18,-5048.0,3331.0,-6342.0,frame_1207.jpeg
1.6463906692202314e+18,-4573.0,3243.0,-5445.0,frame_1208.jpeg
1.6463912135482317e+18,471.0,6180.0,-5627.0,frame_12081.jpeg
1.6463912136018373e+18,867.0,4010.0,-4104.0,frame_12082.jpeg
1.646391213645525e+18,2037.0,5339.0,-5441.0,frame_12083.jpeg
1.6463912137032223e+18,1646.0,4999.0,-5316.0,frame_12084.jpeg
1.6463912137472796e+18,-1709.0,6268.0,-6186.0,frame_12085.jpeg
1.6463912138031188e+18,-404.0,7029.0,-5714.0,frame_12086.jpeg
1.6463912138515837e+18,146.0,7914.0,-7512.0,frame_12087.jpeg
1.6463912139028815e+18,1877.0,5249.0,-6545.0,frame_12088.jpeg
1.6463912139501437e+18,1625.0,3683.0,-3950.0,frame_12089.jpeg
1.6463906692691402e+18,-3754.0,1733.0,-4221.0,frame_1209.jpeg
1.6463912140025303e+18,3027.0,4384.0,-5677.0,frame_12090.jpeg
1.6463912140463186e+18,1557.0,4178.0,-4895.0,frame_12091.jpeg
