timestamp,a_left_backPose,b_left_backPose,c_left_backPose,File Name
1.64639419995402e+18,6515.0,2944.0,3689.0,frame_6597.jpeg
1.6463942000491123e+18,6671.0,2986.0,3822.0,frame_6598.jpeg
1.6463942000856259e+18,6606.0,3068.0,3328.0,frame_6599.jpeg
1.6463938732988165e+18,1453.0,7911.0,-1120.0,frame_66.jpeg
1.6463942001205937e+18,6497.0,3200.0,3439.0,frame_6600.jpeg
1.6463942001632689e+18,6728.0,3043.0,4000.0,frame_6601.jpeg
1.646394200235533e+18,6829.0,3358.0,4760.0,frame_6602.jpeg
1.6463942002837307e+18,6477.0,2540.0,3403.0,frame_6603.jpeg
1.6463942003535675e+18,6209.0,2845.0,4752.0,frame_6604.jpeg
1.6463942003700452e+18,6643.0,2664.0,3756.0,frame_6605.jpeg
1.6463942004263048e+18,6610.0,2605.0,3649.0,frame_6606.jpeg
1.6463942004710828e+18,6906.0,2472.0,3613.0,frame_6607.jpeg
1.646394200526013e+18,6754.0,2651.0,4126.0,frame_6608.jpeg
1.6463942005730614e+18,6404.0,2387.0,4352.0,frame_6609.jpeg
1.6463942006249964e+18,6382.0,2690.0,4404.0,frame_6610.jpeg
1.6463942006711647e+18,6495.0,2572.0,4119.0,frame_6611.jpeg
1.6463942007260723e+18,6633.0,2732.0,4080.0,frame_6612.jpeg
1.6463942007393452e+18,6420.0,2550.0,4008.0,frame_6613.jpeg
1.6463942008736118e+18,6403.0,2563.0,4030.0,frame_6614.jpeg
1.6463942008736118e+18,6403.0,2563.0,4030.0,frame_6615.jpeg
1.646394200914636e+18,6395.0,2555.0,4061.0,frame_6616.jpeg
1.646394200958978e+18,6398.0,2538.0,4087.0,frame_6617.jpeg
1.646394201038912e+18,6390.0,2557.0,4093.0,frame_6618.jpeg
1.6463942010640466e+18,6387.0,2581.0,4123.0,frame_6619.jpeg
1.6463942011409818e+18,6410.0,2594.0,4162.0,frame_6620.jpeg
1.6463942011741092e+18,6441.0,2615.0,4186.0,frame_6621.jpeg
1.6463942012502543e+18,6457.0,2659.0,4233.0,frame_6622.jpeg
1.6463942012502543e+18,6457.0,2659.0,4233.0,frame_6623.jpeg
1.6463942013050227e+18,6466.0,2689.0,4278.0,frame_6624.jpeg
1.6463942013937692e+18,6469.0,2704.0,4339.0,frame_6625.jpeg
1.6463942013937692e+18,6469.0,2704.0,4339.0,frame_6626.jpeg
