timestamp,a_right_backPose,b_right_backPose,c_right_backPose, BOLT_RIGHT
1.6449326552747126e+18,-9533.0,4282.0,-2703.0,1
1.6449326553291016e+18,-13133.0,5075.0,571.0,1
1.644932655368434e+18,-3313.0,2751.0,1165.0,1
1.644932655425082e+18,-3021.0,3111.0,5631.0,1
1.6449326554721367e+18,-2189.0,4181.0,7250.0,1
1.6449326555292388e+18,-2513.0,4956.0,7202.0,1
1.6449326555726548e+18,-519.0,3590.0,3658.0,1
1.6449326556246958e+18,2672.0,4191.0,2828.0,1
1.644932655672863e+18,2105.0,6412.0,3265.0,1
1.6449326557259092e+18,583.0,6279.0,5301.0,1
1.64493265577161e+18,1300.0,6045.0,7502.0,1
1.6449326558291459e+18,-753.0,5235.0,7428.0,1
1.6449326558730893e+18,-158.0,4872.0,7818.0,1
1.644932655923531e+18,-509.0,4722.0,5637.0,1
1.6449326559567903e+18,990.0,4981.0,5520.0,1
1.6449326560222753e+18,516.0,6144.0,5537.0,1
1.6449326560782948e+18,-1632.0,7779.0,6476.0,1
1.6449326561290885e+18,-4917.0,11933.0,8108.0,1
1.6449326561724636e+18,-3823.0,9380.0,5960.0,1
1.6449326562277824e+18,-3139.0,3431.0,4613.0,1
1.644932656273985e+18,-389.0,-36.0,619.0,1
1.6449326563286477e+18,2924.0,-1707.0,-6190.0,1
1.6449326563725804e+18,308.0,-1671.0,-10319.0,1
1.6449326564241283e+18,-3363.0,-5770.0,-10364.0,1
1.6449326564778483e+18,-3036.0,-3693.0,-8414.0,1
1.6449326565290624e+18,-279.0,-2453.0,-7122.0,1
1.6449326565827433e+18,-580.0,-1732.0,-8120.0,1
1.6449326566260132e+18,-1840.0,-2672.0,-8513.0,1
1.6449326566902103e+18,-1943.0,-2268.0,-8687.0,1
1.644932656726928e+18,-1266.0,-1966.0,-6904.0,1
1.644932656778893e+18,-604.0,-3218.0,-7046.0,1
1.6449326568238141e+18,-1596.0,-3063.0,-7244.0,1
1.6449326568782674e+18,-2748.0,-2434.0,-7622.0,1
1.6449326569172457e+18,-3005.0,-2465.0,-7750.0,1
1.6449326569786762e+18,-2412.0,-1783.0,-8647.0,1
1.6449326570281165e+18,-2760.0,-1808.0,-7627.0,1
1.6449326570785441e+18,-5439.0,-3423.0,-6394.0,1
1.6449326571253665e+18,-2337.0,-3846.0,-7890.0,1
1.644932657176187e+18,-2909.0,-2164.0,-6621.0,1
1.6449326572241495e+18,-4519.0,-2501.0,-6680.0,1
1.6449326572783521e+18,-4888.0,-1529.0,-7233.0,1
1.6449326573299203e+18,-4795.0,-841.0,-6169.0,1
1.644932657375418e+18,-4256.0,-848.0,-6372.0,1
1.6449326574242217e+18,-5443.0,-439.0,-6791.0,1
1.6449326574801252e+18,-4983.0,-465.0,-7586.0,1
1.6449326575291553e+18,-6349.0,426.0,-5602.0,1
1.644932657580352e+18,-6715.0,1058.0,-4928.0,1
1.6449326576241434e+18,-6014.0,1797.0,-4330.0,1
1.6449326576804045e+18,-7230.0,2028.0,-4127.0,1
1.644932657723864e+18,-7071.0,2615.0,-3538.0,1
1.6449326577788155e+18,-7359.0,2681.0,-4055.0,1
1.6449326578220687e+18,-6246.0,3469.0,-3285.0,1
1.6449326578748667e+18,-6551.0,3024.0,-3237.0,1
1.64493265792752e+18,-7907.0,3629.0,-3284.0,1
1.6449326579843343e+18,-6657.0,4272.0,-2663.0,1
1.6449326580310561e+18,-6287.0,3900.0,-2610.0,1
1.644932658080705e+18,-5540.0,3576.0,-3039.0,1
1.6449326581327478e+18,-5069.0,3453.0,-3255.0,1
1.644932658179674e+18,-7111.0,1130.0,-2980.0,1
1.6449326582332106e+18,-7681.0,1116.0,-3509.0,1
1.644932658274614e+18,-7841.0,1719.0,-2892.0,1
1.6449326583297452e+18,-7731.0,488.0,-4000.0,1
1.6449326583788705e+18,-8410.0,984.0,-3125.0,1
1.6449326584293066e+18,-7685.0,1189.0,-1487.0,1
1.6449326584763804e+18,-7624.0,1729.0,-2015.0,1
1.644932658533261e+18,-8413.0,1963.0,-2411.0,1
1.6449326585792302e+18,-6885.0,3038.0,-1813.0,1
1.6449326586356068e+18,-8178.0,2191.0,-1000.0,1
1.6449326586798203e+18,-8613.0,-678.0,-2605.0,1
